,ticker,PE,div_ratio,price
1268,WOW,-116.66666666666667,0.0,3.5
352,INSP,-116.16250038146973,0.0,185.86000061035156
1659,HLMN,-111.37499809265137,0.0,8.90999984741211
795,VCEL,-109.25714765276228,0.0,38.2400016784668
1728,SHAK,-108.03278938668673,0.0,65.9000015258789
155,INST,-107.04166889190674,0.0,25.690000534057617
404,STEP,-106.80000305175781,0.033395754351600304,32.040000915527344
2375,NARI,-105.18181540749289,0.0,57.849998474121094
2202,GNL,-103.44444910685222,0.0,9.3100004196167
1897,NRDS,-102.07142829895018,0.0,14.289999961853027
2397,CVLT,-97.8499984741211,0.0,78.27999877929688
1508,ELAN,-97.1875011920929,0.0,15.550000190734863
1071,BLKB,-93.51136467673562,0.0,82.29000091552734
1609,PLTR,-93.11111238267686,0.0,16.760000228881836
2179,APPF,-92.86153940054086,0.0,181.0800018310547
1058,XPRO,-91.94444020589194,0.0,16.549999237060547
676,NXRT,-91.3055525885688,0.05238819762569614,32.869998931884766
86,SPOT,-91.04484250192685,0.0,203.02999877929688
43,ROVR,-91.00000063578288,0.0,10.920000076293945
27,SPLK,-89.26900227864583,0.0,152.64999389648438
1008,ENFN,-87.79999732971191,0.0,8.779999732971191
1537,PI,-84.00000321237665,0.0,79.80000305175781
1854,GWRE,-82.95588212854722,0.0,112.81999969482422
152,CVGW,-81.00000108991351,0.01058201043962199,28.350000381469727
2425,STKL,-80.71428707667759,0.0,5.650000095367432
2033,APP,-80.21153670090895,0.0,41.709999084472656
1766,TAP,-78.02469229992525,0.0,63.20000076293945
1866,MDB,-77.8508939041532,0.0,391.5899963378906
335,SNOW,-76.50399780273438,0.0,191.25999450683594
1930,MATV,-72.72222306993272,0.0,13.09000015258789
935,CENX,-72.60000228881836,0.0,10.890000343322754
1247,SQ,-71.48387457734795,0.0,66.4800033569336
513,NEM,-69.70370257342303,0.042507970933709,37.63999938964844
2104,CELH,-68.84027626695324,0.0,60.349998474121094
796,BV,-68.66666475931804,0.0,8.239999771118164
1271,KKR,-67.59504207894823,0.0,81.79000091552734
1458,TMDX,-66.21950971401805,0.0,81.44999694824219
1727,FRPT,-66.16278951482255,0.0,85.3499984741211
1408,KTOS,-65.37930718783674,0.0,18.959999084472656
861,SPT,-64.92391254590905,0.0,59.72999954223633
974,MRCY,-64.63999938964844,0.0,32.31999969482422
1081,BATRA,-64.13636641068892,0.0,42.33000183105469
1256,BGS,-62.93749809265137,0.0,10.069999694824219
896,AAN,-61.529411989099835,0.047801147053205637,10.460000038146973
1339,MKL,-60.6635539168567,0.0,1429.8399658203125
174,BATRK,-59.848484848484844,0.0,39.5
456,ALIT,-59.78571346827915,0.0,8.369999885559082
494,VVX,-58.67647283217486,0.0,39.900001525878906
823,FIVN,-57.50370166919849,0.0,77.62999725341797
1505,FLYW,-57.47222370571561,0.0,20.690000534057617
542,TENB,-56.69879683529038,0.0,47.060001373291016
946,ATNI,-55.52238919841709,0.023387096294544666,37.20000076293945
181,WK,-55.26162968125454,0.0,95.05000305175781
2057,SGRY,-55.01694760080112,0.0,32.459999084472656
